what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1292729996245
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1292729996245
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1292729996246
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1292729996247
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1292729996247
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1292729996248
started,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1292729996248
started,bundle,com.android.ide.eclipse.adt,0.9.7.v201005071157-36220,"com.android.ide.eclipse.adt",1292729996248
started,bundle,com.android.ide.eclipse.ddms,0.9.7.v201005071157-36220,"com.android.ide.eclipse.ddms",1292729996249
os,sysinfo,,,"macosx",1292729996252
arch,sysinfo,,,"x86",1292729996252
ws,sysinfo,,,"cocoa",1292729996252
locale,sysinfo,,,"zh_CN",1292729996252
processors,sysinfo,,,"2",1292729996252
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1292729996252
java.runtime.version,sysinfo,,,"1.6.0_22-b04-307-10M3261",1292729996252
java.specification.name,sysinfo,,,"Java Platform API Specification",1292729996252
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1292729996252
java.specification.version,sysinfo,,,"1.6",1292729996252
java.vendor,sysinfo,,,"Apple Inc.",1292729996252
java.version,sysinfo,,,"1.6.0_22",1292729996252
java.vm.info,sysinfo,,,"mixed mode",1292729996252
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1292729996252
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1292729996252
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1292729996252
java.vm.specification.version,sysinfo,,,"1.0",1292729996252
java.vm.vendor,sysinfo,,,"Apple Inc.",1292729996252
java.vm.version,sysinfo,,,"17.1-b03-307",1292729996252
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1292729996523
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1292729996886
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1292729997334
started,bundle,org.eclipse.jdt.apt.core,3.3.400.v20100513-0845,"org.eclipse.jdt.apt.core",1292729997351
